user_id,quiz_id,score,total_marks,percentage,status
1,1,18,20,90.0,Pass
1,2,9,20,45.0,Fail
1,3,8,20,40.0,Fail
1,4,19,20,95.0,Pass
1,5,12,20,60.0,Pass
1,6,11,20,55.0,Pass
1,7,11,20,55.0,Pass
1,8,10,20,50.0,Pass
1,9,19,20,95.0,Pass
1,10,9,20,45.0,Fail
2,11,18,20,90.0,Pass
2,12,19,20,95.0,Pass
2,13,16,20,80.0,Pass
2,14,9,20,45.0,Fail
2,15,17,20,85.0,Pass
2,16,14,20,70.0,Pass
2,17,8,20,40.0,Fail
2,18,8,20,40.0,Fail
2,19,9,20,45.0,Fail
2,20,11,20,55.0,Pass
3,21,11,20,55.0,Pass
3,22,16,20,80.0,Pass
3,23,17,20,85.0,Pass
3,24,8,20,40.0,Fail
3,25,16,20,80.0,Pass
3,26,11,20,55.0,Pass
3,27,19,20,95.0,Pass
3,28,18,20,90.0,Pass
3,29,19,20,95.0,Pass
3,30,16,20,80.0,Pass
4,31,14,20,70.0,Pass
4,32,11,20,55.0,Pass
4,33,15,20,75.0,Pass
4,34,17,20,85.0,Pass
4,35,12,20,60.0,Pass
4,36,20,20,100.0,Pass
4,37,8,20,40.0,Fail
4,38,20,20,100.0,Pass
4,39,20,20,100.0,Pass
4,40,10,20,50.0,Pass
5,41,19,20,95.0,Pass
5,42,14,20,70.0,Pass
5,43,13,20,65.0,Pass
5,44,12,20,60.0,Pass
5,45,10,20,50.0,Pass
5,46,11,20,55.0,Pass
5,47,20,20,100.0,Pass
5,48,13,20,65.0,Pass
5,49,9,20,45.0,Fail
5,50,9,20,45.0,Fail
6,51,14,20,70.0,Pass
6,52,9,20,45.0,Fail
6,53,13,20,65.0,Pass
6,54,13,20,65.0,Pass
6,55,17,20,85.0,Pass
6,56,12,20,60.0,Pass
6,57,20,20,100.0,Pass
6,58,8,20,40.0,Fail
6,59,19,20,95.0,Pass
6,60,15,20,75.0,Pass
7,61,16,20,80.0,Pass
7,62,9,20,45.0,Fail
7,63,14,20,70.0,Pass
7,64,9,20,45.0,Fail
7,65,16,20,80.0,Pass
7,66,12,20,60.0,Pass
7,67,18,20,90.0,Pass
7,68,17,20,85.0,Pass
7,69,13,20,65.0,Pass
7,70,17,20,85.0,Pass
8,71,11,20,55.0,Pass
8,72,19,20,95.0,Pass
8,73,9,20,45.0,Fail
8,74,8,20,40.0,Fail
8,75,18,20,90.0,Pass
8,76,11,20,55.0,Pass
8,77,20,20,100.0,Pass
8,78,12,20,60.0,Pass
8,79,9,20,45.0,Fail
8,80,11,20,55.0,Pass
9,81,9,20,45.0,Fail
9,82,14,20,70.0,Pass
9,83,12,20,60.0,Pass
9,84,15,20,75.0,Pass
9,85,18,20,90.0,Pass
9,86,13,20,65.0,Pass
9,87,10,20,50.0,Pass
9,88,13,20,65.0,Pass
9,89,13,20,65.0,Pass
9,90,11,20,55.0,Pass
10,91,18,20,90.0,Pass
10,92,12,20,60.0,Pass
10,93,19,20,95.0,Pass
10,94,18,20,90.0,Pass
10,95,18,20,90.0,Pass
10,96,9,20,45.0,Fail
10,97,17,20,85.0,Pass
10,98,18,20,90.0,Pass
10,99,10,20,50.0,Pass
10,100,16,20,80.0,Pass
11,101,19,20,95.0,Pass
11,102,11,20,55.0,Pass
11,103,10,20,50.0,Pass
11,104,15,20,75.0,Pass
11,105,14,20,70.0,Pass
11,106,12,20,60.0,Pass
11,107,18,20,90.0,Pass
11,108,19,20,95.0,Pass
11,109,16,20,80.0,Pass
11,110,11,20,55.0,Pass
12,111,18,20,90.0,Pass
12,112,13,20,65.0,Pass
12,113,20,20,100.0,Pass
12,114,20,20,100.0,Pass
12,115,8,20,40.0,Fail
12,116,11,20,55.0,Pass
12,117,8,20,40.0,Fail
12,118,20,20,100.0,Pass
12,119,13,20,65.0,Pass
12,120,14,20,70.0,Pass
13,121,12,20,60.0,Pass
13,122,9,20,45.0,Fail
13,123,11,20,55.0,Pass
13,124,17,20,85.0,Pass
13,125,19,20,95.0,Pass
13,126,13,20,65.0,Pass
13,127,11,20,55.0,Pass
13,128,18,20,90.0,Pass
13,129,15,20,75.0,Pass
13,130,14,20,70.0,Pass
14,131,18,20,90.0,Pass
14,132,15,20,75.0,Pass
14,133,10,20,50.0,Pass
14,134,12,20,60.0,Pass
14,135,10,20,50.0,Pass
14,136,11,20,55.0,Pass
14,137,19,20,95.0,Pass
14,138,16,20,80.0,Pass
14,139,16,20,80.0,Pass
14,140,12,20,60.0,Pass
15,141,19,20,95.0,Pass
15,142,17,20,85.0,Pass
15,143,14,20,70.0,Pass
15,144,17,20,85.0,Pass
15,145,14,20,70.0,Pass
15,146,13,20,65.0,Pass
15,147,11,20,55.0,Pass
15,148,10,20,50.0,Pass
15,149,16,20,80.0,Pass
15,150,15,20,75.0,Pass
16,151,9,20,45.0,Fail
16,152,20,20,100.0,Pass
16,153,8,20,40.0,Fail
16,154,9,20,45.0,Fail
16,155,10,20,50.0,Pass
16,156,18,20,90.0,Pass
16,157,10,20,50.0,Pass
16,158,20,20,100.0,Pass
16,159,18,20,90.0,Pass
16,160,14,20,70.0,Pass
17,161,17,20,85.0,Pass
17,162,9,20,45.0,Fail
17,163,14,20,70.0,Pass
17,164,14,20,70.0,Pass
17,165,17,20,85.0,Pass
17,166,15,20,75.0,Pass
17,167,16,20,80.0,Pass
17,168,12,20,60.0,Pass
17,169,16,20,80.0,Pass
17,170,8,20,40.0,Fail
18,171,18,20,90.0,Pass
18,172,19,20,95.0,Pass
18,173,9,20,45.0,Fail
18,174,18,20,90.0,Pass
18,175,16,20,80.0,Pass
18,176,20,20,100.0,Pass
18,177,12,20,60.0,Pass
18,178,20,20,100.0,Pass
18,179,18,20,90.0,Pass
18,180,13,20,65.0,Pass
19,181,9,20,45.0,Fail
19,182,12,20,60.0,Pass
19,183,14,20,70.0,Pass
19,184,10,20,50.0,Pass
19,185,15,20,75.0,Pass
19,186,8,20,40.0,Fail
19,187,19,20,95.0,Pass
19,188,19,20,95.0,Pass
19,189,12,20,60.0,Pass
19,190,16,20,80.0,Pass
20,191,20,20,100.0,Pass
20,192,10,20,50.0,Pass
20,193,16,20,80.0,Pass
20,194,9,20,45.0,Fail
20,195,18,20,90.0,Pass
20,196,12,20,60.0,Pass
20,197,18,20,90.0,Pass
20,198,16,20,80.0,Pass
20,199,17,20,85.0,Pass
20,200,11,20,55.0,Pass
21,201,10,20,50.0,Pass
21,202,13,20,65.0,Pass
21,203,20,20,100.0,Pass
21,204,10,20,50.0,Pass
21,205,16,20,80.0,Pass
21,206,20,20,100.0,Pass
21,207,16,20,80.0,Pass
21,208,8,20,40.0,Fail
21,209,17,20,85.0,Pass
21,210,13,20,65.0,Pass
22,211,15,20,75.0,Pass
22,212,8,20,40.0,Fail
22,213,9,20,45.0,Fail
22,214,13,20,65.0,Pass
22,215,20,20,100.0,Pass
22,216,12,20,60.0,Pass
22,217,11,20,55.0,Pass
22,218,8,20,40.0,Fail
22,219,11,20,55.0,Pass
22,220,17,20,85.0,Pass
23,221,9,20,45.0,Fail
23,222,9,20,45.0,Fail
23,223,19,20,95.0,Pass
23,224,15,20,75.0,Pass
23,225,9,20,45.0,Fail
23,226,20,20,100.0,Pass
23,227,16,20,80.0,Pass
23,228,20,20,100.0,Pass
23,229,10,20,50.0,Pass
23,230,10,20,50.0,Pass
24,231,18,20,90.0,Pass
24,232,15,20,75.0,Pass
24,233,16,20,80.0,Pass
24,234,10,20,50.0,Pass
24,235,12,20,60.0,Pass
24,236,16,20,80.0,Pass
24,237,17,20,85.0,Pass
24,238,14,20,70.0,Pass
24,239,11,20,55.0,Pass
24,240,16,20,80.0,Pass
25,241,20,20,100.0,Pass
25,242,19,20,95.0,Pass
25,243,19,20,95.0,Pass
25,244,11,20,55.0,Pass
25,245,19,20,95.0,Pass
25,246,12,20,60.0,Pass
25,247,14,20,70.0,Pass
25,248,18,20,90.0,Pass
25,249,18,20,90.0,Pass
25,250,13,20,65.0,Pass
26,251,15,20,75.0,Pass
26,252,16,20,80.0,Pass
26,253,15,20,75.0,Pass
26,254,9,20,45.0,Fail
26,255,11,20,55.0,Pass
26,256,11,20,55.0,Pass
26,257,9,20,45.0,Fail
26,258,13,20,65.0,Pass
26,259,8,20,40.0,Fail
