user_id,percentage,Student_Rank
3,100.00,1
4,100.00,1
4,100.00,1
4,100.00,1
5,100.00,1
6,100.00,1
8,100.00,1
12,100.00,1
12,100.00,1
12,100.00,1
16,100.00,1
16,100.00,1
18,100.00,1
18,100.00,1
20,100.00,1
21,100.00,1
21,100.00,1
22,100.00,1
23,100.00,1
23,100.00,1
25,100.00,1
29,100.00,1
29,100.00,1
32,100.00,1
33,100.00,1
34,100.00,1
35,100.00,1
35,100.00,1
36,100.00,1
42,100.00,1
44,100.00,1
48,100.00,1
51,100.00,1
52,100.00,1
53,100.00,1
53,100.00,1
53,100.00,1
54,100.00,1
54,100.00,1
54,100.00,1
55,100.00,1
56,100.00,1
58,100.00,1
60,100.00,1
65,100.00,1
66,100.00,1
66,100.00,1
67,100.00,1
68,100.00,1
68,100.00,1
70,100.00,1
70,100.00,1
70,100.00,1
71,100.00,1
72,100.00,1
72,100.00,1
74,100.00,1
74,100.00,1
74,100.00,1
78,100.00,1
78,100.00,1
79,100.00,1
80,100.00,1
81,100.00,1
84,100.00,1
84,100.00,1
85,100.00,1
86,100.00,1
87,100.00,1
88,100.00,1
90,100.00,1
90,100.00,1
91,100.00,1
91,100.00,1
94,100.00,1
94,100.00,1
95,100.00,1
97,100.00,1
98,100.00,1
99,100.00,1
102,100.00,1
103,100.00,1
106,100.00,1
108,100.00,1
109,100.00,1
109,100.00,1
110,100.00,1
111,100.00,1
114,100.00,1
114,100.00,1
115,100.00,1
116,100.00,1
119,100.00,1
120,100.00,1
120,100.00,1
123,100.00,1
124,100.00,1
125,100.00,1
125,100.00,1
127,100.00,1
130,100.00,1
131,100.00,1
131,100.00,1
133,100.00,1
134,100.00,1
134,100.00,1
135,100.00,1
137,100.00,1
139,100.00,1
140,100.00,1
141,100.00,1
142,100.00,1
144,100.00,1
148,100.00,1
149,100.00,1
149,100.00,1
149,100.00,1
150,100.00,1
150,100.00,1
151,100.00,1
153,100.00,1
154,100.00,1
154,100.00,1
154,100.00,1
155,100.00,1
155,100.00,1
4,100.00,1
4,100.00,1
4,100.00,1
5,100.00,1
6,100.00,1
8,100.00,1
12,100.00,1
12,100.00,1
12,100.00,1
16,100.00,1
16,100.00,1
18,100.00,1
18,100.00,1
20,100.00,1
21,100.00,1
21,100.00,1
22,100.00,1
23,100.00,1
23,100.00,1
25,100.00,1
29,100.00,1
29,100.00,1
32,100.00,1
33,100.00,1
34,100.00,1
35,100.00,1
35,100.00,1
36,100.00,1
42,100.00,1
44,100.00,1
48,100.00,1
51,100.00,1
52,100.00,1
53,100.00,1
