user_id,percentage
3,90.00
3,85.00
6,95.00
3,100.00
1,90.00
1,95.00
1,95.00
2,90.00
2,95.00
2,85.00
3,85.00
3,95.00
3,90.00
3,95.00
4,85.00
4,100.00
4,100.00
4,100.00
5,95.00
5,100.00
6,85.00
6,100.00
6,95.00
7,90.00
7,85.00
7,85.00
8,95.00
8,90.00
8,100.00
9,90.00
10,90.00
10,95.00
10,90.00
10,90.00
10,85.00
10,90.00
11,95.00
11,90.00
11,95.00
12,90.00
12,100.00
12,100.00
12,100.00
13,85.00
13,95.00
13,90.00
14,90.00
14,95.00
15,95.00
15,85.00
15,85.00
16,100.00
16,90.00
16,100.00
16,90.00
17,85.00
17,85.00
18,90.00
18,95.00
18,90.00
18,100.00
18,100.00
18,90.00
19,95.00
19,95.00
20,100.00
20,90.00
20,90.00
20,85.00
21,100.00
21,100.00
21,85.00
22,100.00
22,85.00
23,95.00
23,100.00
23,100.00
24,90.00
24,85.00
25,100.00
25,95.00
25,95.00
25,95.00
25,90.00
25,90.00
26,85.00
27,85.00
27,95.00
27,90.00
28,90.00
29,95.00
29,85.00
29,85.00
29,100.00
29,100.00
30,90.00
31,95.00
31,90.00
31,90.00
31,90.00
31,95.00
32,100.00
33,100.00
33,90.00
34,100.00
35,100.00
35,100.00
36,95.00
36,95.00
36,100.00
36,90.00
36,95.00
37,85.00
37,95.00
37,95.00
38,85.00
39,85.00
39,90.00
39,85.00
40,85.00
40,85.00
40,85.00
40,90.00
40,85.00
40,85.00
41,90.00
41,95.00
42,90.00
42,90.00
42,100.00
42,85.00
43,85.00
44,95.00
44,85.00
44,100.00
45,90.00
45,90.00
45,90.00
46,95.00
46,85.00
46,95.00
47,90.00
47,90.00
48,90.00
48,100.00
48,90.00
49,95.00
49,95.00
50,95.00
50,85.00
51,100.00
51,90.00
51,90.00
52,100.00
52,85.00
52,95.00
53,100.00
53,100.00
53,95.00
53,100.00
54,100.00
54,90.00
54,95.00
54,100.00
54,100.00
54,95.00
55,100.00
56,90.00
56,100.00
57,90.00
57,90.00
